sa4_name,sa3_name,suburb_name,2023,2024,2023-24,2023-24%,natural_increase,net_internal_migration,net_overseas_migration,area,pop_dense_2024
Melbourne - West,Melton - Bacchus Marsh,Burnside,6224,6449,225,3.6,28,106,91,2.6,2527
Melbourne - West,Melton - Bacchus Marsh,Burnside Heights,6500,6499,-1,0,42,-178,135,2,3257
Melbourne - West,Melton - Bacchus Marsh,Caroline Springs,20942,21022,80,0.4,177,-530,433,7,3023.6
Melbourne - West,Melton - Bacchus Marsh,Brookfield,10165,10408,243,2.4,137,-67,173,10.7,973.4
Melbourne - West,Melton - Bacchus Marsh,Cobblebank - Strathtulloh,10242,11760,1518,14.8,324,1114,80,19.8,595.2
Melbourne - West,Melton - Bacchus Marsh,Eynesbury - Exford,3426,3933,507,14.8,47,438,22,69.5,56.6
Melbourne - West,Melton - Bacchus Marsh,Fraser Rise - Plumpton,16414,20730,4316,26.3,413,3778,125,58.7,353
Melbourne - West,Melton - Bacchus Marsh,Hillside,16142,16120,-22,-0.1,115,-288,151,7.8,2062.3
Melbourne - West,Melton - Bacchus Marsh,Kurunjang - Toolern Vale,11912,12069,157,1.3,126,-70,101,120.8,99.9
Melbourne - West,Melton - Bacchus Marsh,Melton,8011,8046,35,0.4,11,-89,113,9.9,815.9
Melbourne - West,Melton - Bacchus Marsh,Melton South - Weir Views,20218,21758,1540,7.6,337,971,232,11,1974.3
Melbourne - West,Wyndham,Hoppers Crossing - North,18316,18410,94,0.5,114,-324,304,10.9,1686.9
Melbourne - West,Wyndham,Hoppers Crossing - South,18790,18967,177,0.9,130,-461,508,7,2705.2
Melbourne - West,Wyndham,Laverton,12421,12754,333,2.7,157,-317,493,22.2,573.3
Melbourne - West,Wyndham,Werribee - South,17832,17937,105,0.6,36,-222,291,114,157.3
Melbourne - West,Wyndham,Point Cook - East,20833,21519,686,3.3,239,-84,531,19,1130.5
Melbourne - West,Wyndham,Point Cook - South,20245,20596,351,1.7,233,-454,572,9.4,2186
Melbourne - West,Wyndham,Werribee - East,18973,19124,151,0.8,81,-393,463,7.8,2465.4
Melbourne - West,Wyndham,Werribee - West,28134,30552,2418,8.6,513,1641,264,127.7,239.3
Melbourne - West,Wyndham,Manor Lakes - Quandong,12000,12575,575,4.8,209,101,265,72,174.6
Melbourne - West,Wyndham,Point Cook - North East,14697,14817,120,0.8,81,-359,398,5.6,2668.4
Melbourne - West,Wyndham,Point Cook - North West,9998,10165,167,1.7,104,-254,317,2.9,3459.8
Melbourne - West,Wyndham,Tarneit - West - Mount Cottrell,15286,17173,1887,12.3,449,1269,169,36.7,467.9
Melbourne - West,Wyndham,Tarneit - Central,29323,29462,139,0.5,387,-1214,966,8,3700.9
Melbourne - West,Wyndham,Tarneit - North,11207,13485,2278,20.3,365,1800,113,14.3,940
Melbourne - West,Wyndham,Tarneit - South,11632,11708,76,0.7,157,-407,326,3.1,3740.5
Melbourne - West,Wyndham,Truganina - North,13018,14287,1269,9.7,300,869,100,17.5,815.5
Melbourne - West,Wyndham,Truganina - South East,10443,10689,246,2.4,161,-272,357,4.3,2504.7
Melbourne - West,Wyndham,Truganina - South West,19938,20356,418,2.1,300,-649,767,5.4,3785.2
Melbourne - West,Wyndham,Wyndham Vale - North,11894,13138,1244,10.5,299,798,147,51.2,256.4
